author,publish_year,title,abstract
D. R. Holmes; M. A. Wondrow; M. R. Bell; S. E. Nissen; J. T. Cusma,1998,Cine film replacement: Digital archival requirements and remaining obstacles,"The acceptance of the Digital Imaging and Communication in Medicine (DICOM) standard and the Compact Disk-Recordable (CD-R) as the interchange medium have been critical developments for laboratories that need to move forward on the cine replacement front, while at the same time retain a means to communicate with other centers. One remaining essential component which has not been satisfactorily addressed is the issue of how digital image data should be archived within an institution. Every laboratory must consider the diverse issues which affect the choice of a digital archiving system. These factors include technical and economic issues, along with the clinical routines prevailing in their laboratory. A complete understanding of the issues will lead to the formulation of multiple options which may prove acceptable and will help to overcome the last obstacle which remains for the complete replacement of cine film in the cardiac catheterization laboratory. (C) 1998 Wiley-Liss, Inc."
J. Y. Zheng; Z. L. Zhang,1998,Digital archiving of an archaeological excavation site for multimedia display,"Archiving of archaeological excavation sites with richer data than pictures and graphs has been required for long years. This paper introduces an effort to register 3D graphics data of an excavation site at the world famous Terra-Cotta Warriors and Horse Museum. The measured data including shape and color are processed for archaeology research, unearthed finds preservation, multimedia textbook and virtual museum. We developed a laser range finder to imaging local distinguished parts in the excavation site. By using image transformation and VR interfaces, we combine local measured data to produce a global digital 3D graphics scene."
M. W. Day,1998,Online serials: Preservation issues,"The paper consists of a preliminary investigation of preservation issues related to scholarly online electronic serials. Some background issues are discussed relating to how preservation should be defined, types of electronic serials, the current and future development of scholarly communication and formats currently in use. The discussion of preservation that follows looks at media longevity, hardware and software dependence and obsolescence, data migration, authentication, copyright and ownership issues, legal deposit and the related problems of who should preserve and what should be preserved in the digital age. © 1998 Taylor & Francis Group, LLC."
P. Z. Adelstein; F. S. Frey,1998,New Developments on Standards for the Permanence of Electronic Media,"One of the major obstacles to the long-term preservation of electronic media is the lack of standards. Existing industry standards"" tend to be distillations of vendor responses to the imperatives of a competitive marketplace. As such, preservation is seldom a priority. Preservation of electronic media is dependent upon the permanence of the media, the hardware and the software. All three are essential for retrievability of information which is only machine readable. Permanence of the magnetic tape or optical disk media is very dependent upon the material as manufactured. Hardware availability requires that parts be obtainable when they become worn out. Consequently format obsolescence is a major consideration. In the United States, a committee accredited by the American National Standards Institute was formed to address the subject of magnetic tape and optical disk permanence. This committee has been meeting regularly since 1989 and to date two standards have been published and several more are in progress. The first is a test method to establish the expected life of CD-ROM optical disks. Since optical disks do not undergo physical stress when used, the test method was based on an optical readout after accelerated incubation. The second standard concerns the proper storage conditions for magnetic tape. Work in progress on test methods is to determine the useful life of CD-MO and CD-R disks, and recommended storage for optical disks. A document on the care and handling of magnetic tape is in preparation. The promise of broadly accepted standards is that institutions charged with the preservation of cultural material can embrace new technology while managing the inevitability of equipment and file format obsolescence."""
G. Bäärnhielm,1999,Digital cartography in the Royal Library - The National Library of Sweden,"Digital cartography - that is computer cartography - could be seen from several different viewpoints. Three aspects are important for libraries: digital map production, digital access and digital archiving. © LIBER 1999. All rights reserved."
J. Kosch,1999,Choice of criteria for digital image archiving and reporting systems,"The most important changes that have occurred in digital imaging and archiving technologies are presented, along with the choices the user needs to make and the conditions which must be defined prior to their introduction. With the introduction of digital archiving, standard operating procedures and organizational structures are presented as a program sequence. The variations in this which are most often met in practice are summarized. Together with the existing standard operating procedures, digital archiving must also be compatible with the existing instruments in the laboratory. The factors which need to be taken into account in interfacing with the various macroscopy, SEM, word processing and reporting hardware in the laboratory are explained."
M. Day,1999,"Resource discovery, interoperability and digital preservation: Some aspects of current metadata research and development","The UK Office for Library and Information Networking are engaged in a wide range of work in the area of metadata, in cooperation with various partners. Projects on metadata for Internet resource discovery, interoperability and digital preservation all point to the continuing need for something like traditional library services to organise, access and preserve networked information. © 1999, MCB UP Limited"
M. Kashimura; T. Nakajima; T. Maeda; N. Onda; H. Saito; S. Ozawa,1999,High-description image acquisition for digital archiving of rare books,"At first in this paper, we give an outline of activity of the Humanities Media Interface (HUMI) Project. This project was established by Keio Univ for the purpose of digital archiving of rare books held in Keio University Library, and of realizing a research oriented digital library. Then our way of acquiring rare book images of super high definition is introduced and image compensation method for acquiring just-front view of page using the 3-D information extracted from the shape of top line of the page area depicted in the image is proposed. Our approach of acquiring higher resolution image by joining close-up partial images of a page is also introduced. The proposing image adjustment method is extended for partial images of a page as preprocess of joining them together. In the experiment, well-adjusted and joined page images could be obtained."
S. Granger,1999,Metadata and Digital Preservation: A plea for cross-interest collaboration,"Metadata has many potential uses and benefits. One of those is to aid in the considerable challenge we with respect to the issue of digital preservation. The many potential uses of metadata however raise the question of how we can avoid having a whole plethora of standards. © 1999, MCB UP Limited"
A. K. Pace,2000,Digital preservation: Everything new is old again,"Many are building digital libraries, but how many have thought about how to preserve them?"
A. Waugh; R. Wilkinson; B. Hills; J. Dell'oro,2000,Preserving digital information forever,"Well within our lifetime we can expect to see most information being created, stored and used digitally. Despite the growing importance of digital data, the wider community pays almost no attention to the problems of preserving this digital information for the future. Even within the archival and library communities most work on digital preservation has been theoretical, not practical, and highlights the problems rather than giving solutions. Physical libraries have to preserve information for long periods and this is no less true of their digital equivalents. This paper describes the preservation approach adopted in the Victorian Electronic Record Strategy (VERS) which is currently being trialed within the Victorian government, one of the states of Australia. We review the various preservation approaches that have been suggested and describe in detail encapsulation, the approach which underlies the VERS format. A key difference between the VERS project and previous digital preservation project is the focus within VERS on the construction of actual systems to test and implement the proposed technology. VERS is not a theoretical study in preservation."
B. Gatos; S. L. Mantzaris; S. J. Perantonis; A. Tsigris,2000,Automatic page analysis for the creation of a digital library from newspaper archives,"Digital preservation of newspaper archives aims both at the salvation of endangered material (paper) and at the creation of digital library services that will allow full utilization of the archives by all interested parties. In this paper, we address a series of issues pertaining to the retro-conversion of newspapers, i.e., the conversion of newspaper pages into digital resources. An integrated approach is presented that provides solutions to problems related to newspaper page image enhancement, segmentation of pages into various items (titles, text, images etc), article identification and reconstruction, and, finally, recognition of the textual components. Emphasis is placed on the most difficult intermediate stages of page segmentation and article identification and reconstruction. Detailed experimental results, obtained from a large testbed of old newspaper issues, are presented which clearly demonstrate the applicability of our methodology to the successful retro-conversion of newspaper material. © 2000 Springer-Verlag."
B. H. Chen; S. H. Hung; H. Y. Chen; J. S. Hong,2000,An XML-based Digital Museum Framework for Resource Organization/Presentation,"In this paper, we present an XML-based Digital Museum Framework for the resource organization and presentation a digital museum. The system is a three-tier framework that includes: 1: Object Server, 2: Meta-Search Server, 3: Client. The XML-based digital museum framework has various advantages: (1) organize the museum information in a tree-structured format and provides efficient query performance for searches dealing with hierarchical"" relationships between fields. (2) Keep the digitized museum collections in primitive form for more probable long-term preservation without the need of constant software/OS upgrading. (3) Provides the convenient/versatile presentations of the digital objects on WWW using XSL. (4) Facilitate the data sharing among different digital museum."""
C. Webb,2000,Because It Belongs to All of Us: National Arrangements for Digital Preservation in Australian Libraries,"The National Library of Australia is playing a significant role in the development of a national infrastructure to preserve and facilitate long-term access to Australia's digital resources. This article examines the challenges of digital preservation and the range of issues which are confronting libraries and other cultural, educational and research institutions in this context. The paper also discusses the need to adopt a coordinated approach throughout Australia as strategies are developed to manage this increasingly ubiquitous resource. © 2000 Taylor & Francis Group, LLC."
D. Huttenlocher; A. Moll,2000,On DigiPaper and the dissemination of electronic documents,"Encoding electronic documents involves a tradeoff between maximizing the ease of dissemination and preserving the document appearance. For instance, a simple text file is the most easily and universally disseminated form of document, but it preserves none of the appearance. This paper proposes a new image-based document representation, called DigiPaper, which is designed to easily disseminate electronic documents with a guaranteed appearance, thus eliminating the tradeoff. DigiPaper provides fixed appearance by representing documents in image form, but uses new compression techniques to make the file size comparable to formats such as Word, PowerPoint or PDF. DigiPaper compression is based on two technologies, the Mixed Raster Content (MRC) color image model and token-compression. DigiPaper files are much smaller than current image formats used for scanning, achieving about a factor of 7 improvement in compression over TIFF Group 4 compressed images. Electronic documents have forever changed the ways in which we share information, primarily due to the ease with which they can be disseminated compared to physical documents. Electronic documents can be more widely and cheaply disseminated because they can be transmitted across networks, replicated virtually for free, and accessed simultaneously by multiple users. Thus, as a medium for the dissemination of information, electronic documents are considerably more powerful than physical media such as paper. Certain underlying assumptions that aid in the dissemination of electronic documents limit their usefulness, however. One such assumption is that the information in a document is carried primarily by its textual content, at the expense of the information carried by other elements such as layout and design. For instance, markup languages such as SGML and HTML focus on the textual content and make the specification of most layout, font, and other design content secondary. While this assumption is most evident in HTML, it is reflected to some degree in every electronic document representation, including layout based"" representations such as PostScript and PDF. Because it is assumed that a document can be successfully transmitted by distributing its text, electronic documents have an intrinsic malleability in their rendering. This is manifested in common features which allow networked documents to be displayed on a multitude of platforms, such as the ability to make a font substitution when the specified font is not available or to adapt the aspect ratio of a document to that of the monitor or browser window. The most malleable (least fixed) form of a document is simple ASCII text, which specifies no information about appearance. A highly malleable document format is preferable when a document is to be presented in highly different ways, such as color versus monochrome, or on very different devices, such as a Palm Pilot and a photographic printer. In these situations, breadth of dissemination is privileged over appearance, and a malleable format that preserves text content over appearance is greatly advantageous. While document malleability increases the potential for dissemination of the textual content, it limits the potential for dissemination of design and layout information, which are often very important in conveying information. The world of printed-paper documents has a centuries-long tradition of valuing document presentation for the information that it carries and for its communicative effect. Print publications have traditionally used the graphic elements of documents as an important aid in conveying meaning. Fonts, layout, and graphics appeal to our senses, reinforcing the connotations and emotional response the document tries to elicit. The physical characteristics of the medium allow the designer to determine to a large extent the visual experience of the reader. Graphic design has an increasing presence in today's business documents (e.g., annual reports, brochures, and product catalogs), making company literature more appealing and easier to understand fo the reader. Many authors and designers moving to the digital medium have been unwilling to abandon the practice of controlling document appearance. Despite the difficulties entailed in precisely encoding the layout of a page in HTML, the majority of well-designed web sites go to great lengths to control the page seen by the reader to the finest detail. They often use elements of HTML such as tables and images in ways not originally intended. In the minds of the designers of these web sites, the value of document appearance clearly outweighs the advantages of the malleable electronic document. Extensions to HTML such as Cascading Style Sheets (CSS) are intended to extend the ability of the designer to fix the appearance of the document. However, these extensions still do not provide the kind of control over appearance that is afforded by paper documents. Furthermore, for a malleable form of document, the document creator does not really know how the document will look, and cannot control the document's visual impact on the reader. By neglecting document presentation, the electronic document risks losing this valuable avenue of expression. In this paper, we argue that there is an important role for electronic documents with a guaranteed fixed appearance that can be controlled by the document creator, much as with paper documents. Today, the need for networked documents with a fixed appearance is met by one of two methods. The first method is using a standardized page description language (PDL), such as Postscript or PDF. This approach has the advantages that Postscript and PDF are widely used, they are relatively compact (e.g., compared to image formats such as TIFF), and they encode much of the document structure. Nevertheless, the disadvantages of this method are substantial. To varying degrees, PDLs are not sufficiently standardized and require considerable processing power to display. Moreover, in practice they cannot guarantee the document appearance. Standard PDF and PostScript files are rendered differently on each device. This is sometimes imperceptible, but many users encounter documents they cannot view or print, or that appear in a distorted manner, especially when the correct fonts are not available. A few niche markets, such as publishing, use digital images of a document as a means of addressing the need for a fixed electronic form of the document. Digital images provide guaranteed appearance: the placement of text and graphic art is fixed, fonts are not an issue, and text, art, and photographs can be mixed at will. In addition, the document can be viewed or printed without requiring the application that generated it (such as MS Word or PowerPoint), nor requiring a PDL renderer such as Adobe Acrobat or a Postscript viewer. This solution of transmitting electronic documents using an image representation has become standard in communities such as publishing and digital archiving. Publishers send books to press as TIFF images (often embedded in PostScript), thus avoiding problems caused by the lack of appropriate fonts in the printer. In digital archival repositories, the current practice is to use TIFF files with CCITT Group 4 compression as a preservation format. However, digital document images have one main drawback that prevents them from being used more widely: they tend to be very large. Consequently, they use a lot of storage and transmit too slowly for the majority of users. Their use is only cost effective in very specific cases where storage and bandwidth considerations are not an issue. This paper proposes a new image-based document representation, DigiPaper,1 to encode efficiently document appearance and maintain the high dissemination potential characteristic of the electronic medium. DigiPaper provides guaranteed appearance, relies to a minimum on the environment in which it is rendered (e.g., does not require particular fonts or the application that created the document), and thus is readable by a varied audience. It eliminates the tradeoff between maximizing dissemination and preserving documen appearance that today faces the creator of electronic documents. DigiPaper is designed to meet the need for a fixed electronic form of a document, while keeping file sizes small. It can be used successfully both with scanned and electronic source documents. Electronic source documents include those rendered to page images from page description languages such as Postscript (so called RIPped documents), and those generated with text processors or presentation software such as Microsoft Word or PowerPoint. DigiPaper is a structured image representation for documents. One of the main reasons document images are so large is that current formats do not take sufficient advantage of the special nature of document images. For instance, most documents are composed of different types of content. Text, photographs, graphs, tables, and business graphics often appear together in a single page. A single treatment (i.e., resolution, color depth, compression) is never suited to all these kinds of material, but conventional document image formats do not provide good support for combining multiple encoding techniques. By using a structured image representation, with different layers for different kinds of material, it is possible to obtain much better compression. DigiPaper applies to each such layer an encoding method that is appropriate to that type of material, thereby providing a good trade-off between storage efficiency and image quality. To represent the different content types in the multiple layers, DigiPaper uses the Mixed Raster Content (MRC) imaging model. For compression, DigiPaper makes heavy use of token compression."""
H. Macneil,2000,Providing grounds for trust: Developing conceptual requirements for the long- term preservation of authentic electronic records,"Since 1999, the International Research in Permanent Authentic Records in Electronic Systems (InterPARES) Project has been investigating the issues associated with the long-term preservation of authentic electronic records. The identification of conceptual requirements for the verification of authentic electronic records is the responsibility of the InterPARES Authenticity Task Force. The work of the task force is being carried out in three stages: (1) identifying and defining, using contemporary archival diplomatics, the elements of an electronic record that are relevant to a consideration of its authenticity; (2) testing the validity of the elements through case studies of electronic systems; and (3) developing general and specific requirements for the preservation of authentic electronic records over the long term. This article reports on the work accomplished by the task force to date in each of the three stages."
H. Shenton,2000,From talking to doing: digital preservation at the british library,"What are the core competencies that a national library needs to address the preservation of digital material? What skills are needed, by whom, when, to do what? Are the skills available externally, or is it better to develop people within the library? How are preservation philosophies and IT philosophies attuned? How is the preservation of digital material managed in a matrical and distributed way within a large organisation?. © 2000, Taylor & Francis Group, LLC."
J. Heazlewood,2000,"Epreservation in the Archive: Theories, Practices","The preservation of digital materials is a problem faced by both libraries and archives. This article discusses the problem of digital preservation from the perspective of archival institutions and highlights some of the theoretical and practical work being undertaken by archives in this arena. © 2000 Taylor & Francis Group, LLC."
K. Shankar; M. V. Cloonan; F. Marini; E. Park; S. Sanett; C. Trace,2000,Preliminary results from US-InterPARES Project,"Knowledge management is dependent upon technologies that store and create digital assets. And yet, how many organizations have given thought to the long-term preservation of the materials that are created with those technologies namely, documents that are necessary for the ongoing administrative, fiscal, and legal maintenance of the organization?Traditionally land still, often), records were created on paper, filed by clerks or secretaries, and eventually, managed by the records management unit of the organization. Paper records, for the most part, could be stored for decades and thus formed the backbone of corporate memory. In today's business environment, records of value are being created in applications that may be obsolete in as few as three years. Yet those ephemeral records have begun to house more and more of the corporate memory that will likely be required for the organization's functioning for many years. Government agencies face even greater challenges since records may need to be kept for hundreds if not thousands of years. And even when organizations do preserve their electronic records, what guarantees do they have that the electronic records they DO save are authentic and reliable?The InterPARES (INTERnational Research on the Preservation of Authentic Records in Electronic Systems) project was conceived to conduct systematic research into the problem of preserving authentic electronic records over time; to research the state of the art in electronic records management and preservation; and to develop strategies for the long-term preservation of electronic records. The project, officially begun in 1999, is a collaborative effort, drawing together researchers from universities, industry, and national archives from North America, Europe, Asia, and Australia, with backgrounds in computer science, engineering, preservation, archival theory and practice, information systems, research science, business, and government administration. The broad range of disciplinary interests, cultural backgrounds, and institutional affiliations of the participants provides the InterPARES team with a rich set of resources and tools from which to draw.Members of the project are conducting intensive case studies of diverse electronic record keeping systems in a range of institutional settings. The case studies consist of interviews with records creators and administrators who are involved with the systems, supported by system schematics, documentation, user manuals, and flow charts. From their analysis of these systems, the researchers are identifying common themes and elements of record-keeping systems and the records within them in order to target those elements that help preserve authenticity over time for preservation purposes; and model record-keeping systems and processes.This panel will discuss the project goals and results of the data analysis to date, conducted at the University of California, Los Angeles under the direction of Dr. Anne Gilliland-Swetland in the Department of information Studies."
M. Fenske,2000,Planning a digital parliamentary archive,"Based on the conditions of the State Parliament of Schleswig-Holstein the step concept of a digital parliamentary archive is evolved, mainly paying attention to the cost-benefit aspects. The archive includes the printed parliamentary materials and law gazettes as well as their bibliographic records. The practicability of data takeover, retrospective digitization and long-term digital archiving is described. The selection of the electronic format is conditional on the different requirements of screening, printing, downloading and digital master."
M. Imura; Y. Tabata; I. Kanaya; T. Kuroda; Y. Manabe; O. Oshiro; K. Chihara,2000,Digital archiving of <i>Kamegata-Ishi</i> (Turtle Shape Stone) using heterogeneous measurement methods,"Kamegata-Ishi (Turtle Shape Stone), which was excavated on January 11, 2000, in Asuka, Nara, Japan, has been attracting archaeological attention as the key to elucidate the culture of the Asuka era. This paper reports the trial of digital archive integrating heterogeneous measurement methods, which are a total station, a non-contact 3D digitizer and a stereo camera. The developed digital archive holds a detailed 3D shape and surface texture images of the stone."
M. Jones,2000,A workbook for the preservation management off digital materials,"The Arts and Humanities Data Service (AHDS) undertook a research project on digital preservation management funded by Re:source between July 1999 and September 2000. The project aimed to provide a decision tree and other tools to assist organisations in managing the digital materials they create and/or acquire. The main deliverable from the project was a workbook produced by Neil Beagrie and Maggie Jones. The final draft of the workbook was sent for peer review and comment. This paper focuses on the major categories of feedback received from this process and the outcomes of the feedback. Finally, the paper briefly outlines what further developments are anticipated. © 2000, Taylor & Francis Group, LLC."
M. Lippert,2000,Will today's electronic journals be accessible in the 23rd century: Issues in long-term archiving SIG/STI and SIG/IFP,"The academic journal has served as the primary means of recording the progress of scientific and technical knowledge for several centuries. The role of preserving and providing access to our scientific and technical heritage has traditionally fallen to academic libraries, resulting in large physical collections of journal volumes. With the emergence of the electronic journal, where there is no longer the physical object to collect, the task of creating and maintaining a permanent electronic archive presents a new and more complicated challenge. This session will address policy and standards issues related to long-term archives, various digital archiving models, the economics of sustainable archives, negotiation of long-term access rights, creating and managing large data archives, hardware and software issues, multi-publisher e-journal content integration, format considerations and future data migration needs. Panelists from several science organizations committed to maintaining long-term archives will join consultants and other experts to discuss these and related issues."
M. Muschiol,2000,Digital archiving-Base of modern design data management,"Different problem fields today characterize a conventional drawing administration. In order to meet in future the rising requirements of the market, enterprises are forced to take suitable measures also in the sector of the product development, which are based on modern communication- and information technology. One measure for example represents the application of a digital archive. An appropriate concept will be presented in this article. New paths of the design data management are taken by the use of a digital archive."
M. Seadle,2000,"Spoken words, unspoken meanings: A DLI2 project ethnography","The National Gallery of the Spoken Word (NGSW) is a Digital Library Initiative-funded project based at Michigan State University with multiple internal and external partners. The NGSW is essentially a multicultural enterprise because of the variety of disciplines involved, each of which has a unique micro-culture and mutually-unintelligible specialized language. This article uses an ethnographic approach to describe three NGSW-based research projects: copyright, metadata, and digital preservation. Each of these projects shows some aspect of language-related infrastructure development."
N. Beagrie,2000,The British experience in preserving digital library collections,"The increasing amount of information being produced digitally is impacting on and changing forever the expectations of users in all spheres of life. Digital access has many advantages over paper-based access in terms of convenience and functionality. However there are challenges, not yet wholly resolved, associated with ensuring that the many and varied digital resources being created will continue to be accessible. The long-term preservation of research collections in digital form is therefore an issue of increasing concern to research libraries around the world. Preservation and access to this information is dependent on impermanent media and technologies and adapting or re-engineering existing organisational and legal frameworks. © LIBER 1999. All rights reserved."
N. Beagrie,2000,The JISC digital preservation focus and the digital preservation coalition,"Collaboration is widely seen as being essential for digital preservation but recognised by practitioners as being often as challenging as addressing digital preservation itself. This paper outlines the programme and activities of the JISC Digital Preservation Focus and the proposed Digital Preservation Coalition and the rationale which has led to these developments to foster collaboration. It will be relevant both to those directly affected by these developments in the UK and to an international audience interested in the general approaches adopted and specific programmes that are being developed. © 2000, Taylor & Francis Group, LLC."
N. Koshizuka; K. Sakamura,2000,Tokyo University Digital Museum,"We present our basic philosophy and concept of Tokyo University Digital Museum. The main goal of our activity is to propose new forms of museums of the future in which digital technologies support all kinds of museum activities such as gathering, preserving, researching, exhibiting, and educating about collections. Further, we report our novel digital technologies for the digital museum such as media and human interface technologies for new exhibition styles and data processing technologies for digital archiving of cultural historical materials. Lastly, we conclude with observations for the museum of the future. © 2000 IEEE."
